Date,count,VIn CH1,sigfig,VInSig,VOut CH2,sigfig,VOutSig,w,wSig,Frequency Hz,sigfig,FeqSig Hz,Period s,PeriodSig s,Timediff TD s,TDSig s,Phase Ch2Ch1 deg,PhaseVar deg,PhaseSig deg
27-Apr,1,83,2,1,1.62,3,0.01,66915.92352,314.1592654,10650,3,50,9.40E-05,1.00E-06,1.70E-05,1.00E-06,-65,15.15,3.891913956
,2,82,2,1,2,3,0.01,70497.33915,314.1592654,11220,3,50,8.90E-05,1.00E-06,1.40E-05,1.00E-06,-57,16.77,4.094682765
,3,79,2,1,2.44,3,0.01,72193.79918,314.1592654,11490,3,50,8.50E-05,1.00E-06,8.00E-06,1.00E-06,-34,18.1,4.254011156
,4,77,2,1,2.68,3,0.01,76026.54222,314.1592654,12100,3,50,8.30E-05,1.00E-06,7.00E-06,1.00E-06,-30,18.95,4.35274739
,5,75,2,1,2.84,3,0.01,77660.1704,314.1592654,12360,3,50,8.10E-05,1.00E-06,6.00E-06,1.00E-06,-27,19.86,4.456621027
,6,74,2,1,3.04,3,0.01,80613.26749,314.1592654,12830,3,50,7.70E-05,1.00E-06,3.00E-06,1.00E-06,-14,21.89,4.678871814
,7,73,2,1,3.08,3,0.01,81241.58602,314.1592654,12930,3,50,7.70E-05,1.00E-06,3.00E-08,1.00E-06,0,21.86,4.67532503
,8,73,2,1,3.04,3,0.01,82184.06382,314.1592654,13080,3,50,7.60E-05,1.00E-06,1.00E-06,1.00E-06,5,22.44,4.737252133
,9,74,2,1,3,3,0.01,83440.70088,314.1592654,13280,3,50,7.50E-05,1.00E-06,3.00E-06,1.00E-06,14,23.08,4.803838465
,10,77,2,1,2.64,3,0.01,86519.46168,314.1592654,13770,3,50,7.20E-05,1.00E-06,6.00E-06,1.00E-06,30,25.17,5.017331074
,11,80,2,1,2.36,3,0.01,88592.91283,314.1592654,14100,3,50,7.10E-05,1.00E-06,8.00E-06,1.00E-06,41,26.04,5.102507791
,12,80,2,1,2.2,3,0.01,90100.8773,314.1592654,14340,3,50,7.00E-05,1.00E-06,9.00E-06,1.00E-06,46,26.89,5.185190201
,13,82,2,1,2,3,0.01,92111.4966,314.1592654,14660,3,50,6.90E-05,1.00E-06,1.00E-05,1.00E-06,52,27.79,5.271899588
