Day,Video,Index,Droplet,Ionized,Video T(m:s),1F(x) m,1F(t) s,1R(x) m,1R(t) s,2F(x) m,2F(t) s,2R(x) m,2R(t) s,3F(x) m,3F(t) s,3R(x) m,3R(t) s,Vf1,Vr1,Vf2,Vr2,Vf3,Vr3,vf av,vf stdev,vr av,vr stdev,varVf1,varVr1,varVf2,varVr2,varVf3,varVr3,,Volts V,Temp T,,,,
3-30-22,run3,0,1,0,4:15.9,5.00E-04,13.700,5.00E-04,2.000,5.00E-04,10.600,5.00E-04,1.900,5.00E-04,13.500,5.00E-04,3.800,3.65E-05,2.50E-04,4.72E-05,2.63E-04,3.70E-05,1.32E-04,4.02E-05,6.01E-06,2.15E-04,7.25E-05,6.04E-13,1.81E-10,1.09E-12,2.20E-10,6.24E-13,1.89E-11,,501,,,,,
4-4-22,R1,1,2,0,0:5.8,5.00E-04,4.200,5.00E-04,11.600,5.00E-04,4.300,5.00E-04,11.400,5.00E-04,4.400,5.00E-04,2.500,1.19E-04,4.31E-05,1.16E-04,4.39E-05,1.14E-04,2.00E-04,1.16E-04,2.71E-06,9.57E-05,9.04E-05,1.37E-11,8.81E-13,1.27E-11,9.17E-13,1.18E-11,8.00E-11,,501,,,F= Fall,E = 0,Grounded plates
,,2,2,1,1:50.7,5.00E-04,4.000,5.00E-04,2.800,5.00E-04,4.400,5.00E-04,2.400,5.00E-04,4.000,5.00E-04,2.500,1.25E-04,1.79E-04,1.14E-04,2.08E-04,1.25E-04,2.00E-04,1.21E-04,6.56E-06,1.96E-04,1.54E-05,1.60E-11,5.34E-11,1.18E-11,9.27E-11,1.60E-11,8.00E-11,,501,,,R= Rise,E ≠ 0,Voltage Applied
,,3,2,2,3:54.5,5.00E-04,5.700,5.00E-04,0.900,5.00E-04,4.000,5.00E-04,0.800,5.00E-04,4.400,5.00E-04,0.900,8.77E-05,5.56E-04,1.25E-04,6.25E-04,1.14E-04,5.56E-04,1.09E-04,1.91E-05,5.79E-04,4.01E-05,5.45E-12,3.93E-09,1.60E-11,6.26E-09,1.18E-11,3.93E-09,,501,,,,,
,,4,2,3,6:46.4,5.00E-04,4.500,5.00E-04,0.700,5.00E-04,4.200,5.00E-04,0.600,5.00E-04,4.100,5.00E-04,0.600,1.11E-04,7.14E-04,1.19E-04,8.33E-04,1.22E-04,8.33E-04,1.17E-04,5.61E-06,7.94E-04,6.87E-05,1.10E-11,1.06E-08,1.37E-11,1.96E-08,1.48E-11,1.96E-08,,501,,,x = change in x ,,
4-6-22,9,5,3,0,0:36.0,5.00E-04,13.300,5.00E-04,2.700,5.00E-04,15.500,5.00E-04,2.300,5.00E-04,11.800,5.00E-04,2.900,3.76E-05,1.85E-04,3.23E-05,2.17E-04,4.24E-05,1.72E-04,3.74E-05,5.06E-06,1.92E-04,2.32E-05,6.45E-13,6.08E-11,4.60E-13,1.08E-10,8.47E-13,4.72E-11,,501,,,t = change in t ,,
,,6,4,0,0:37.3,5.00E-04,16.600,5.00E-04,1.200,5.00E-04,18.500,5.00E-04,1.500,5.00E-04,20.500,5.00E-04,1.400,3.01E-05,4.17E-04,2.70E-05,3.33E-04,2.44E-05,3.57E-04,2.72E-05,2.87E-06,3.69E-04,4.29E-05,3.96E-13,1.28E-09,3.14E-13,5.38E-10,2.52E-13,7.02E-10,,501,,,E.g.: ,,
,10,7,5,0,0:24.5,5.00E-04,17.900,5.00E-04,1.400,5.00E-04,15.100,5.00E-04,1.900,5.00E-04,17.100,5.00E-04,1.600,2.79E-05,3.57E-04,3.31E-05,2.63E-04,2.92E-05,3.13E-04,3.01E-05,2.69E-06,3.11E-04,4.70E-05,3.36E-13,7.02E-10,4.87E-13,2.20E-10,3.71E-13,4.21E-10,,501,,,F(x)m,F(t) ,
,,8,6,0,1:27.7,5.00E-04,11.000,5.00E-04,1.200,5.00E-04,16.800,5.00E-04,2.800,5.00E-04,19.800,5.00E-04,2.700,4.55E-05,4.17E-04,2.98E-05,1.79E-04,2.53E-05,1.85E-04,3.35E-05,1.06E-05,2.60E-04,1.36E-04,9.97E-13,1.28E-09,3.86E-13,5.34E-11,2.71E-13,6.08E-11,,501,,,sigx,1.00E-05,
,,9,7,0,2:28.6,5.00E-04,11.000,5.00E-04,1.900,5.00E-04,13.800,5.00E-04,2.000,5.00E-04,21.500,5.00E-04,2.000,4.55E-05,2.63E-04,3.62E-05,2.50E-04,2.33E-05,2.50E-04,3.50E-05,1.12E-05,2.54E-04,7.60E-06,9.97E-13,2.20E-10,5.94E-13,1.81E-10,2.28E-13,1.81E-10,,501,,,sigt,0.1,
,11,10,8,0,0:28.3,5.00E-04,19.400,5.00E-04,2.000,5.00E-04,21.200,5.00E-04,2.200,5.00E-04,16.500,5.00E-04,1.600,2.58E-05,2.50E-04,2.36E-05,2.27E-04,3.03E-05,3.13E-04,2.66E-05,3.43E-06,2.63E-04,4.41E-05,2.83E-13,1.81E-10,2.35E-13,1.27E-10,4.01E-13,4.21E-10,,501,,,,,
,1,11,9,0,C,5.00E-04,8.990,5.00E-04,3.020,5.00E-04,8.960,5.00E-04,3.980,5.00E-04,8.980,5.00E-04,3.500,5.56E-05,1.66E-04,5.58E-05,1.26E-04,5.57E-05,1.43E-04,5.57E-05,9.48E-08,1.45E-04,2.00E-05,1.62E-12,4.10E-11,1.63E-12,1.63E-11,1.62E-12,2.48E-11,,501,,,,,
