Day,Video,Droplet,Ionized,Video T(m:s),1F(x) m,1F(t) s,1R(x) m,1R(t) s,2F(x) m,2F(t) s,2R(x) m,2R(t) s,3F(x) m,3F(t) s,3R(x) m,3R(t) s,Vf1,Vr1,Vf2,Vr2,Vf3,Vr3,vf av,vf stdev,vr av,vr stdev,,,,,,Volts V,Temp T,,,,
3/30/2022,run3,1,0,04:15.9,5.00E-04,13.7,5.00E-04,2,5.00E-04,10.6,5.00E-04,1.9,5.00E-04,13.5,5.00E-04,3.8,3.65E-05,2.50E-04,4.72E-05,2.63E-04,3.70E-05,1.32E-04,4.02E-05,6.01E-06,2.15E-04,7.25E-05,,,,,,501,,,,,
4/4/2022,R1,2,0,00:05.8,5.00E-04,4.2,5.00E-04,11.6,5.00E-04,4.3,5.00E-04,11.4,5.00E-04,4.4,5.00E-04,2.5,1.19E-04,4.31E-05,1.16E-04,4.39E-05,1.14E-04,2.00E-04,1.16E-04,2.71E-06,9.57E-05,9.04E-05,,,,,,501,,,F= Fall,E = 0,Grounded plates
,,2,1,01:50.7,5.00E-04,4,5.00E-04,2.8,5.00E-04,4.4,5.00E-04,2.4,5.00E-04,4,5.00E-04,2.5,1.25E-04,1.79E-04,1.14E-04,2.08E-04,1.25E-04,2.00E-04,1.21E-04,6.56E-06,1.96E-04,1.54E-05,,,,,,501,,,R= Rise,E ≠ 0,Voltage Applied
,,2,2,03:54.5,5.00E-04,5.7,5.00E-04,0.9,5.00E-04,4,5.00E-04,0.8,5.00E-04,4.4,5.00E-04,0.9,8.77E-05,5.56E-04,1.25E-04,6.25E-04,1.14E-04,5.56E-04,1.09E-04,1.91E-05,5.79E-04,4.01E-05,,,,,,501,,,,,
,,2,3,06:46.4,5.00E-04,4.5,5.00E-04,0.7,5.00E-04,4.2,5.00E-04,0.6,5.00E-04,4.1,5.00E-04,0.6,1.11E-04,7.14E-04,1.19E-04,8.33E-04,1.22E-04,8.33E-04,1.17E-04,5.61E-06,7.94E-04,6.87E-05,,,,,,501,,,x = change in x ,,
4/6/2022,9,3,0,00:36.0,5.00E-04,13.3,5.00E-04,2.7,5.00E-04,15.5,5.00E-04,2.3,5.00E-04,11.8,5.00E-04,2.9,3.76E-05,1.85E-04,3.23E-05,2.17E-04,4.24E-05,1.72E-04,3.74E-05,5.06E-06,1.92E-04,2.32E-05,,,,,,501,,,t = change in t ,,
,,4,0,00:37.3,5.00E-04,16.6,5.00E-04,1.2,5.00E-04,18.5,5.00E-04,1.5,5.00E-04,20.5,5.00E-04,1.4,3.01E-05,4.17E-04,2.70E-05,3.33E-04,2.44E-05,3.57E-04,2.72E-05,2.87E-06,3.69E-04,4.29E-05,,,,,,501,,,E.g.: ,,
,10,5,0,00:24.5,5.00E-04,17.9,5.00E-04,1.4,5.00E-04,15.1,5.00E-04,1.9,5.00E-04,17.1,5.00E-04,1.6,2.79E-05,3.57E-04,3.31E-05,2.63E-04,2.92E-05,3.13E-04,3.01E-05,2.69E-06,3.11E-04,4.70E-05,,,,,,501,,,F(x)m,F(t) ,
,,6,0,01:27.7,5.00E-04,11,5.00E-04,1.2,5.00E-04,16.8,5.00E-04,2.8,5.00E-04,19.8,5.00E-04,2.7,4.55E-05,4.17E-04,2.98E-05,1.79E-04,2.53E-05,1.85E-04,3.35E-05,1.06E-05,2.60E-04,1.36E-04,,,,,,501,,,,,
,,7,0,02:28.6,5.00E-04,11,5.00E-04,1.9,5.00E-04,13.8,5.00E-04,2,5.00E-04,21.5,5.00E-04,2,4.55E-05,2.63E-04,3.62E-05,2.50E-04,2.33E-05,2.50E-04,3.50E-05,1.12E-05,2.54E-04,7.60E-06,,,,,,501,,,,,
